fifa_version,short_name,overall,potential,age,league_name,club_name,nationality_name,pace,shooting,passing,dribbling,defending,physic
23,De Gea,87,87,31,Premier League,Manchester United,Spain,,,,,,
23,M. Verratti,87,87,29,Ligue 1,Paris Saint Germain,Italy,60.0,61.0,87.0,91.0,79.0,66.0
23,K. Koulibaly,87,87,31,Premier League,Chelsea,Senegal,82.0,33.0,59.0,68.0,88.0,85.0
23,A. Rüdiger,87,88,29,La Liga,Real Madrid,Germany,82.0,53.0,71.0,67.0,86.0,85.0
23,Fabinho,87,88,28,Premier League,Liverpool,Brazil,66.0,69.0,78.0,77.0,86.0,83.0
23,L. Goretzka,87,88,27,Bundesliga,FC Bayern München,Germany,78.0,82.0,82.0,83.0,81.0,86.0
23,M. Maignan,87,90,26,Serie A,Milan,France,,,,,,
23,A. Robertson,87,87,28,Premier League,Liverpool,Scotland,80.0,61.0,81.0,81.0,82.0,76.0
23,F. de Jong,87,92,25,La Liga,FC Barcelona,Netherlands,82.0,69.0,86.0,87.0,77.0,78.0
23,T. Alexander-Arnold,87,90,23,Premier League,Liverpool,England,76.0,69.0,89.0,80.0,80.0,73.0
23,Rodri,87,89,26,Premier League,Manchester City,Spain,58.0,72.0,78.0,79.0,83.0,84.0
23,Thiago Silva,86,86,37,Premier League,Chelsea,Brazil,49.0,54.0,73.0,72.0,87.0,76.0
23,W. Szczęsny,86,86,32,Serie A,Juventus,Poland,,,,,,
23,K. Trapp,86,86,31,Bundesliga,Eintracht Frankfurt,Germany,,,,,,
23,Thiago,86,86,31,Premier League,Liverpool,Spain,61.0,72.0,87.0,90.0,72.0,69.0
23,Parejo,86,86,33,La Liga,Villarreal,Spain,50.0,83.0,90.0,80.0,71.0,68.0
23,C. Immobile,86,86,32,Serie A,Lazio,Italy,85.0,87.0,68.0,80.0,39.0,75.0
23,R. Lukaku,86,86,29,Serie A,Inter,Belgium,80.0,85.0,75.0,77.0,38.0,82.0
23,D. Alaba,86,86,30,La Liga,Real Madrid,Austria,79.0,71.0,83.0,80.0,85.0,77.0
23,R. Sterling,86,86,27,Premier League,Chelsea,England,90.0,80.0,78.0,86.0,45.0,67.0
23,R. Mahrez,86,86,31,Premier League,Manchester City,Algeria,80.0,83.0,81.0,90.0,38.0,60.0
23,P. Dybala,86,86,28,Serie A,Roma,Argentina,80.0,85.0,85.0,90.0,40.0,59.0
23,Bruno Fernandes,86,86,27,Premier League,Manchester United,Portugal,72.0,86.0,88.0,81.0,67.0,76.0
23,A. Laporte,86,87,28,Premier League,Manchester City,Spain,61.0,50.0,72.0,69.0,86.0,79.0
23,K. Coman,86,87,26,Bundesliga,FC Bayern München,France,92.0,77.0,79.0,87.0,30.0,61.0
23,M. Brozović,86,86,29,Serie A,Inter,Croatia,69.0,74.0,81.0,81.0,81.0,78.0
23,S. Milinković-Savić,86,87,27,Serie A,Lazio,Serbia,68.0,80.0,82.0,82.0,79.0,86.0
23,N. Barella,86,89,25,Serie A,Inter,Italy,79.0,76.0,83.0,84.0,77.0,81.0
23,L. Martínez,86,90,24,Serie A,Inter,Argentina,83.0,83.0,72.0,85.0,48.0,84.0
23,M. Škriniar,86,87,27,Serie A,Inter,Slovakia,78.0,41.0,57.0,69.0,88.0,86.0
23,C. Nkunku,86,89,24,Bundesliga,RB Leipzig,France,88.0,81.0,83.0,88.0,65.0,66.0
23,É. Mendy,86,87,30,Premier League,Chelsea,Senegal,,,,,,
23,Vinícius Jr.,86,92,21,La Liga,Real Madrid,Brazil,95.0,79.0,74.0,90.0,29.0,67.0
23,Y. Sommer,85,85,33,Bundesliga,Borussia Mönchengladbach,Switzerland,,,,,,
23,P. Gulácsi,85,85,32,Bundesliga,RB Leipzig,Hungary,,,,,,
23,İ. Gündoğan,85,85,31,Premier League,Manchester City,Germany,64.0,80.0,85.0,85.0,72.0,72.0
23,M. Reus,85,85,33,Bundesliga,Borussia Dortmund,Germany,70.0,84.0,84.0,85.0,53.0,65.0
23,K. Walker,85,85,32,Premier League,Manchester City,England,91.0,63.0,77.0,78.0,80.0,82.0
23,P. Aubameyang,85,85,33,Premier League,Chelsea,Gabon,87.0,84.0,74.0,79.0,36.0,68.0
23,Jordi Alba,85,85,33,La Liga,FC Barcelona,Spain,84.0,70.0,82.0,82.0,77.0,70.0
23,Sergio Busquets,85,85,33,La Liga,FC Barcelona,Spain,42.0,62.0,79.0,79.0,82.0,73.0
23,Iago Aspas,85,85,34,La Liga,Celta de Vigo,Spain,82.0,85.0,79.0,86.0,35.0,63.0
23,P. Pogba,85,85,29,Serie A,Juventus,France,67.0,80.0,85.0,85.0,62.0,80.0
23,M. Depay,85,85,28,La Liga,FC Barcelona,Netherlands,83.0,84.0,82.0,86.0,30.0,79.0
23,Jorginho,85,85,30,Premier League,Chelsea,Italy,54.0,67.0,86.0,81.0,73.0,73.0
23,S. Gnabry,85,85,26,Bundesliga,FC Bayern München,Germany,82.0,84.0,79.0,85.0,43.0,69.0
23,Gerard Moreno,85,85,30,La Liga,Villarreal,Spain,78.0,86.0,77.0,83.0,46.0,72.0
23,Y. Carrasco,85,85,28,La Liga,Atlético Madrid,Belgium,89.0,82.0,80.0,87.0,53.0,67.0
23,F. Kostić,85,85,29,Serie A,Juventus,Serbia,84.0,78.0,82.0,82.0,68.0,80.0
23,J. Vardy,85,85,35,Premier League,Leicester City,England,84.0,84.0,70.0,79.0,52.0,72.0
23,N. Süle,85,87,26,Bundesliga,Borussia Dortmund,Germany,71.0,48.0,66.0,59.0,85.0,83.0
23,N. Fekir,85,85,28,La Liga,Real Betis,France,83.0,82.0,82.0,87.0,38.0,80.0
23,M. Acuña,85,85,30,La Liga,Sevilla,Argentina,76.0,74.0,83.0,87.0,80.0,83.0
23,Diogo Jota,85,89,25,Premier League,Liverpool,Portugal,85.0,83.0,75.0,85.0,57.0,77.0
23,T. Hernández,85,90,24,Serie A,Milan,France,93.0,72.0,76.0,81.0,78.0,83.0
23,P. Schick,85,87,26,Bundesliga,Bayer 04 Leverkusen,Czech Republic,78.0,83.0,71.0,83.0,36.0,76.0
23,M. de Ligt,85,89,22,Bundesliga,FC Bayern München,Netherlands,75.0,59.0,61.0,69.0,84.0,87.0
23,P. Foden,85,92,22,Premier League,Manchester City,England,82.0,78.0,81.0,88.0,56.0,60.0
23,Pedri,85,93,19,La Liga,FC Barcelona,Spain,79.0,67.0,81.0,87.0,68.0,73.0
23,G. Chiellini,84,84,37,Major League Soccer,Los Angeles FC,Italy,65.0,46.0,60.0,58.0,85.0,83.0
23,A. Gómez,84,84,34,La Liga,Sevilla,Argentina,86.0,78.0,83.0,85.0,39.0,54.0
23,Sergio Ramos,84,84,36,Ligue 1,Paris Saint Germain,Spain,61.0,69.0,73.0,70.0,83.0,77.0
23,S. Handanovič,84,84,37,Serie A,Inter,Slovenia,,,,,,
23,D. Mertens,84,84,35,Super Lig,Galatasaray,Belgium,78.0,82.0,80.0,87.0,34.0,49.0
23,L. Suárez,84,84,35,Primera Division,Nacional,Uruguay,70.0,86.0,78.0,78.0,46.0,81.0
23,M. Hummels,84,84,33,Bundesliga,Borussia Dortmund,Germany,53.0,59.0,76.0,72.0,87.0,78.0
23,E. Džeko,84,84,36,Serie A,Inter,Bosnia and Herzegovina,63.0,84.0,71.0,77.0,45.0,75.0
23,I. Perišić,84,84,33,Premier League,Tottenham Hotspur,Croatia,78.0,81.0,79.0,82.0,74.0,78.0
23,E. Hazard,84,84,31,La Liga,Real Madrid,Belgium,83.0,80.0,82.0,87.0,35.0,63.0
23,Á. Di María,84,84,34,Serie A,Juventus,Argentina,79.0,79.0,84.0,87.0,48.0,67.0
23,L. Bonucci,84,84,35,Serie A,Juventus,Italy,54.0,59.0,69.0,71.0,85.0,78.0
23,K. Trippier,84,84,31,Premier League,Newcastle United,England,70.0,64.0,82.0,77.0,80.0,72.0
23,Muniain,84,84,29,La Liga,Athletic Club,Spain,81.0,77.0,82.0,87.0,51.0,61.0
23,Canales,84,84,31,La Liga,Real Betis,Spain,83.0,79.0,85.0,82.0,68.0,71.0
23,K. Casteels,84,85,30,Bundesliga,VfL Wolfsburg,Belgium,,,,,,
23,J. Matip,84,84,30,Premier League,Liverpool,Cameroon,61.0,46.0,69.0,71.0,87.0,78.0
23,S. de Vrij,84,84,30,Serie A,Inter,Netherlands,68.0,41.0,65.0,69.0,87.0,79.0
23,L. Insigne,84,84,31,Major League Soccer,Toronto,Italy,84.0,78.0,84.0,89.0,36.0,45.0
23,D. Tadić,84,84,33,Eredivisie,Ajax,Serbia,68.0,81.0,86.0,84.0,43.0,77.0
23,W. Ben Yedder,84,84,31,Ligue 1,Monaco,France,81.0,84.0,78.0,88.0,39.0,68.0
23,R. Varane,84,85,29,Premier League,Manchester United,France,81.0,49.0,64.0,66.0,85.0,80.0
23,E. Martínez,84,84,29,Premier League,Aston Villa,Argentina,,,,,,
23,S. Savić,84,84,31,La Liga,Atlético Madrid,Montenegro,64.0,35.0,58.0,58.0,87.0,80.0
23,Carvajal,84,84,30,La Liga,Real Madrid,Spain,82.0,54.0,77.0,80.0,78.0,79.0
23,J. Grealish,84,84,26,Premier League,Manchester City,England,76.0,76.0,83.0,87.0,46.0,69.0
23,M. Kovačić,84,84,28,Premier League,Chelsea,Croatia,70.0,69.0,83.0,88.0,71.0,71.0
23,H. Çalhanoğlu,84,84,28,Serie A,Inter,Turkey,67.0,80.0,85.0,86.0,68.0,64.0
23,Y. Bounou,84,84,31,La Liga,Sevilla,Morocco,,,,,,
23,T. Partey,84,84,29,Premier League,Arsenal,Ghana,65.0,71.0,81.0,80.0,80.0,83.0
23,D. Berardi,84,84,27,Serie A,Sassuolo,Italy,82.0,81.0,81.0,86.0,36.0,71.0
23,R. De Paul,84,84,28,La Liga,Atlético Madrid,Argentina,78.0,77.0,83.0,82.0,75.0,81.0
23,Y. Tielemans,84,86,25,Premier League,Leicester City,Belgium,56.0,80.0,86.0,81.0,70.0,73.0
23,L. Hernández,84,86,26,Bundesliga,FC Bayern München,France,77.0,54.0,70.0,71.0,84.0,80.0
23,L. Sané,84,85,26,Bundesliga,FC Bayern München,Germany,88.0,81.0,80.0,85.0,38.0,66.0
23,M. Ødegaard,84,89,23,Premier League,Arsenal,Norway,76.0,75.0,86.0,84.0,58.0,63.0
23,Marcos Llorente,84,85,27,La Liga,Atlético Madrid,Spain,88.0,79.0,81.0,82.0,78.0,81.0
23,W. Ndidi,84,86,25,Premier League,Leicester City,Nigeria,66.0,62.0,68.0,73.0,85.0,83.0
23,L. Pellegrini,84,87,26,Serie A,Roma,Italy,79.0,77.0,83.0,84.0,74.0,78.0
23,Oyarzabal,84,86,25,La Liga,Real Sociedad,Spain,79.0,83.0,80.0,83.0,41.0,62.0
23,F. Kessié,84,86,25,La Liga,FC Barcelona,Côte d'Ivoire,78.0,76.0,74.0,79.0,82.0,87.0
23,F. Tomori,84,90,24,Serie A,Milan,England,86.0,40.0,60.0,66.0,86.0,81.0
23,J. Sancho,84,88,22,Premier League,Manchester United,England,81.0,74.0,81.0,89.0,36.0,59.0
23,M. Mount,84,87,23,Premier League,Chelsea,England,74.0,81.0,85.0,82.0,55.0,67.0
23,D. Rice,84,87,23,Premier League,West Ham United,England,71.0,64.0,74.0,76.0,82.0,83.0
23,A. Davies,84,89,21,Bundesliga,FC Bayern München,Canada,94.0,66.0,77.0,85.0,76.0,77.0
23,A. Hakimi,84,87,23,Ligue 1,Paris Saint Germain,Morocco,92.0,75.0,79.0,80.0,75.0,78.0
23,K. Havertz,84,91,23,Premier League,Chelsea,Germany,81.0,79.0,79.0,84.0,45.0,66.0
23,F. Chiesa,84,90,24,Serie A,Juventus,Italy,91.0,81.0,76.0,86.0,48.0,73.0
23,A. Bastoni,84,90,23,Serie A,Inter,Italy,73.0,35.0,69.0,71.0,86.0,82.0
23,R. James,84,88,22,Premier League,Chelsea,England,81.0,70.0,82.0,82.0,80.0,82.0
23,F. Valverde,84,90,23,La Liga,Real Madrid,Uruguay,87.0,74.0,80.0,79.0,78.0,80.0
23,Éder Militão,84,89,24,La Liga,Real Madrid,Brazil,86.0,50.0,70.0,72.0,85.0,82.0
23,L. Díaz,84,87,25,Premier League,Liverpool,Colombia,91.0,80.0,75.0,87.0,34.0,73.0
23,S. Tonali,84,90,22,Serie A,Milan,Italy,81.0,73.0,81.0,79.0,79.0,82.0
23,J. Koundé,84,89,23,La Liga,FC Barcelona,France,84.0,45.0,64.0,74.0,85.0,78.0
23,Rafael Leão,84,90,23,Serie A,Milan,Portugal,91.0,77.0,73.0,86.0,27.0,74.0
23,M. Diaby,84,88,22,Bundesliga,Bayer 04 Leverkusen,France,93.0,73.0,75.0,87.0,42.0,59.0
23,João Félix,84,90,22,La Liga,Atlético Madrid,Portugal,83.0,80.0,81.0,88.0,40.0,67.0
23,D. Vlahović,84,91,22,Serie A,Juventus,Serbia,80.0,85.0,66.0,78.0,28.0,79.0
23,J. Bellingham,84,91,19,Bundesliga,Borussia Dortmund,England,75.0,75.0,78.0,84.0,77.0,80.0
23,Jesús Navas,83,83,36,La Liga,Sevilla,Spain,85.0,68.0,82.0,81.0,79.0,57.0
23,Piqué,83,83,35,La Liga,FC Barcelona,Spain,56.0,61.0,71.0,68.0,83.0,76.0
23,K. Schmeichel,83,83,35,Ligue 1,Nice,Denmark,,,,,,
23,David Silva,83,83,36,La Liga,Real Sociedad,Spain,61.0,72.0,86.0,85.0,52.0,53.0
23,J. Henderson,83,83,32,Premier League,Liverpool,England,66.0,74.0,83.0,78.0,78.0,81.0
23,Fernando,83,83,34,La Liga,Sevilla,Brazil,65.0,62.0,76.0,73.0,83.0,81.0
23,L. Hrádecký,83,83,32,Bundesliga,Bayer 04 Leverkusen,Finland,,,,,,
23,J. Cuadrado,83,83,34,Serie A,Juventus,Colombia,90.0,75.0,78.0,87.0,76.0,72.0
23,O. Baumann,83,83,32,Bundesliga,TSG Hoffenheim,Germany,,,,,,
23,Koke,83,83,30,La Liga,Atlético Madrid,Spain,70.0,72.0,84.0,79.0,78.0,79.0
23,A. Griezmann,83,83,31,La Liga,Atlético Madrid,France,80.0,82.0,83.0,85.0,52.0,72.0
23,Luis Alberto,83,83,29,Serie A,Lazio,Spain,54.0,75.0,86.0,83.0,57.0,57.0
23,Roberto Firmino,83,83,30,Premier League,Liverpool,Brazil,74.0,76.0,79.0,87.0,59.0,78.0
23,J. Stones,83,84,28,Premier League,Manchester City,England,72.0,51.0,71.0,75.0,84.0,77.0
23,H. Ziyech,83,83,29,Premier League,Chelsea,Morocco,76.0,77.0,87.0,83.0,50.0,65.0
23,Ricardo Pereira,83,83,28,Premier League,Leicester City,Portugal,79.0,67.0,79.0,81.0,80.0,73.0
23,P. Zieliński,83,83,28,Serie A,Napoli,Poland,81.0,77.0,81.0,86.0,70.0,62.0
23,T. Lemar,83,86,26,La Liga,Atlético Madrid,France,82.0,78.0,83.0,87.0,68.0,64.0
23,P. Højbjerg,83,85,26,Premier League,Tottenham Hotspur,Denmark,55.0,73.0,77.0,77.0,80.0,82.0
23,Á. Correa,83,84,27,La Liga,Atlético Madrid,Argentina,85.0,84.0,77.0,87.0,50.0,74.0
23,D. Zapata,83,83,31,Serie A,Atalanta,Colombia,78.0,82.0,63.0,79.0,35.0,85.0
23,J. Giménez,83,85,27,La Liga,Atlético Madrid,Uruguay,71.0,46.0,57.0,60.0,85.0,83.0
23,Diego Carlos,83,83,29,Premier League,Aston Villa,Brazil,76.0,47.0,63.0,67.0,82.0,82.0
23,Angeliño,83,85,25,Bundesliga,TSG Hoffenheim,Spain,78.0,71.0,82.0,84.0,76.0,70.0
23,Marco Asensio,83,84,26,La Liga,Real Madrid,Spain,82.0,80.0,81.0,83.0,43.0,62.0
23,Rúben Neves,83,86,25,Premier League,Wolverhampton Wanderers,Portugal,58.0,74.0,86.0,77.0,76.0,73.0
23,Merino,83,86,26,La Liga,Real Sociedad,Spain,73.0,78.0,81.0,82.0,82.0,81.0
23,K. Laimer,83,84,25,Bundesliga,RB Leipzig,Austria,84.0,68.0,78.0,79.0,81.0,78.0
23,P. Kimpembe,83,86,26,Ligue 1,Paris Saint Germain,France,80.0,43.0,68.0,69.0,83.0,86.0
23,Fabián,83,85,26,Ligue 1,Paris Saint Germain,Spain,61.0,79.0,80.0,83.0,74.0,72.0
23,F. Mendy,83,84,27,La Liga,Real Madrid,France,92.0,64.0,77.0,78.0,78.0,84.0
23,Ronaldo Cabrais,83,83,30,Serie A,Palmeiras,Brazil,88.0,77.0,83.0,84.0,35.0,72.0
23,Gabriel Jesus,83,86,25,Premier League,Arsenal,Brazil,84.0,82.0,74.0,86.0,40.0,74.0
23,Unai Simón,83,86,25,La Liga,Athletic Club,Spain,,,,,,
23,O. Dembélé,83,86,25,La Liga,FC Barcelona,France,93.0,77.0,79.0,87.0,36.0,56.0
23,V. Osimhen,83,89,23,Serie A,Napoli,Nigeria,90.0,82.0,65.0,78.0,40.0,81.0
23,C. Romero,83,88,24,Premier League,Tottenham Hotspur,Argentina,73.0,46.0,57.0,65.0,85.0,82.0
23,Raphinha,83,86,25,La Liga,FC Barcelona,Brazil,91.0,79.0,77.0,85.0,50.0,73.0
23,Carlos Soler,83,88,25,Ligue 1,Paris Saint Germain,Spain,80.0,77.0,83.0,80.0,71.0,72.0
23,G. Kobel,83,88,24,Bundesliga,Borussia Dortmund,Switzerland,,,,,,
23,Bremer,83,87,25,Serie A,Juventus,Brazil,78.0,50.0,56.0,65.0,84.0,79.0
23,Pau Torres,83,89,25,La Liga,Villarreal,Spain,73.0,38.0,67.0,70.0,84.0,81.0
23,C. Gakpo,83,87,23,Eredivisie,PSV,Netherlands,87.0,82.0,77.0,84.0,41.0,74.0
23,R. Araujo,83,89,23,La Liga,FC Barcelona,Uruguay,77.0,51.0,65.0,61.0,83.0,83.0
23,Z. Ibrahimović,82,82,40,Serie A,Milan,Sweden,58.0,85.0,76.0,77.0,34.0,72.0
23,Raúl Albiol,82,82,36,La Liga,Villarreal,Spain,38.0,41.0,62.0,63.0,85.0,71.0
23,Ł. Fabiański,82,82,37,Premier League,West Ham United,Poland,,,,,,
23,I. Rakitić,82,82,34,La Liga,Sevilla,Croatia,53.0,80.0,86.0,78.0,75.0,68.0
23,D. Payet,82,82,35,Ligue 1,Olympique Marseille,France,70.0,78.0,84.0,83.0,40.0,65.0
23,Rui Patrício,82,82,34,Serie A,Roma,Portugal,,,,,,
23,O. Giroud,82,82,35,Serie A,Milan,France,42.0,83.0,72.0,73.0,42.0,78.0
23,S. Kjær,82,82,33,Serie A,Milan,Denmark,62.0,54.0,64.0,60.0,84.0,78.0
23,Yuri Berchiche,82,82,32,La Liga,Athletic Club,Spain,81.0,68.0,76.0,76.0,79.0,82.0
23,T. Alderweireld,82,82,33,Jupiler Pro League,Antwerp,Belgium,57.0,55.0,70.0,67.0,85.0,75.0
23,M. Arnautović,82,82,33,Serie A,Bologna,Austria,78.0,82.0,79.0,79.0,44.0,82.0
23,Azpilicueta,82,82,32,Premier League,Chelsea,Spain,64.0,55.0,76.0,72.0,84.0,76.0
23,Coutinho,82,82,30,Premier League,Aston Villa,Brazil,62.0,79.0,80.0,88.0,52.0,59.0
23,C. Eriksen,82,82,30,Premier League,Manchester United,Denmark,61.0,78.0,88.0,80.0,53.0,52.0
23,I. Gueye,82,82,32,Premier League,Everton,Senegal,67.0,66.0,72.0,78.0,83.0,76.0
23,S. Coates,82,82,31,Liga Portugal,Sporting CP,Uruguay,68.0,49.0,55.0,62.0,84.0,87.0
23,Isco,82,82,30,La Liga,Sevilla,Spain,65.0,75.0,80.0,88.0,59.0,58.0
23,W. Zaha,82,82,29,Premier League,Crystal Palace,Côte d'Ivoire,91.0,79.0,73.0,86.0,37.0,76.0
23,L. Muriel,82,82,31,Serie A,Atalanta,Colombia,89.0,83.0,74.0,86.0,27.0,67.0
23,A. Lopes,82,82,31,Ligue 1,Olympique Lyonnais,Portugal,,,,,,
23,F. Acerbi,82,82,34,Serie A,Inter,Italy,62.0,50.0,64.0,64.0,85.0,78.0
23,S. Berghuis,82,82,30,Eredivisie,Ajax,Netherlands,80.0,82.0,83.0,82.0,40.0,69.0
23,L. Digne,82,82,28,Premier League,Aston Villa,France,78.0,69.0,80.0,79.0,77.0,76.0
23,K. Volland,82,82,29,Ligue 1,Monaco,Germany,70.0,85.0,79.0,80.0,46.0,84.0
23,Nacho Fernández,82,82,32,La Liga,Real Madrid,Spain,75.0,37.0,69.0,70.0,82.0,80.0
23,Gabriel Paulista,82,82,31,La Liga,Valencia,Brazil,67.0,49.0,71.0,65.0,84.0,83.0
23,G. Kondogbia,82,82,29,La Liga,Atlético Madrid,Central African Republic,68.0,75.0,77.0,76.0,81.0,88.0
23,Sergi Darder,82,82,28,La Liga,Espanyol,Spain,82.0,74.0,82.0,83.0,74.0,77.0
23,L. Spinazzola,82,82,29,Serie A,Roma,Italy,91.0,64.0,73.0,80.0,78.0,69.0
23,Iñigo Martínez,82,82,31,La Liga,Athletic Club,Spain,71.0,56.0,67.0,61.0,82.0,80.0
23,W. Orban,82,82,29,Bundesliga,RB Leipzig,Hungary,57.0,36.0,53.0,56.0,84.0,81.0
23,R. Jiménez,82,82,31,Premier League,Wolverhampton Wanderers,Mexico,73.0,81.0,76.0,80.0,47.0,82.0
23,J. Pickford,82,84,28,Premier League,Everton,England,,,,,,
23,S. Haller,82,82,28,Bundesliga,Borussia Dortmund,Côte d'Ivoire,65.0,80.0,62.0,74.0,52.0,82.0
23,M. Ginter,82,83,28,Bundesliga,SC Freiburg,Germany,60.0,59.0,71.0,66.0,84.0,79.0
23,E. Can,82,82,28,Bundesliga,Borussia Dortmund,Germany,79.0,78.0,77.0,80.0,82.0,87.0
23,R. Guerreiro,82,82,28,Bundesliga,Borussia Dortmund,Portugal,74.0,77.0,86.0,87.0,75.0,55.0
23,Grimaldo,82,83,26,Liga Portugal,Benfica,Spain,87.0,65.0,81.0,83.0,74.0,71.0
23,Otávio,82,82,27,Liga Portugal,Porto,Portugal,78.0,69.0,80.0,85.0,63.0,71.0
23,Gayà,82,83,27,La Liga,Valencia,Spain,83.0,61.0,76.0,80.0,78.0,73.0
23,T. Werner,82,84,26,Bundesliga,RB Leipzig,Germany,90.0,80.0,69.0,82.0,35.0,69.0
23,J. Brandt,82,85,26,Bundesliga,Borussia Dortmund,Germany,67.0,78.0,82.0,85.0,48.0,65.0
23,Anderson Talisca,82,82,28,Pro League,Al Nassr,Brazil,80.0,82.0,78.0,83.0,52.0,75.0
23,J. Tah,82,84,26,Bundesliga,Bayer 04 Leverkusen,Germany,67.0,37.0,59.0,61.0,83.0,85.0
23,A. Christensen,82,86,26,La Liga,FC Barcelona,Denmark,68.0,32.0,66.0,70.0,84.0,74.0
23,G. Rulli,82,82,30,La Liga,Villarreal,Argentina,,,,,,
23,A. Kramarić,82,82,31,Bundesliga,TSG Hoffenheim,Croatia,71.0,80.0,79.0,85.0,30.0,72.0
23,Rafa,82,82,29,Liga Portugal,Benfica,Portugal,91.0,73.0,75.0,86.0,50.0,52.0
23,G. Di Lorenzo,82,82,28,Serie A,Napoli,Italy,85.0,66.0,73.0,77.0,78.0,80.0
23,J. Maddison,82,84,25,Premier League,Leicester City,England,73.0,78.0,84.0,85.0,54.0,62.0
23,M. Locatelli,82,86,24,Serie A,Juventus,Italy,63.0,72.0,79.0,78.0,79.0,79.0
23,R. Gosens,82,82,27,Serie A,Inter,Germany,82.0,75.0,74.0,79.0,77.0,80.0
23,David Soria,82,82,29,La Liga,Getafe,Spain,,,,,,
23,Gonçalo Guedes,82,85,25,Premier League,Wolverhampton Wanderers,Portugal,86.0,83.0,74.0,83.0,38.0,70.0
23,Aritz Elustondo,82,83,28,La Liga,Real Sociedad,Spain,64.0,39.0,65.0,62.0,82.0,78.0
23,A. Onana,82,85,26,Serie A,Inter,Cameroon,,,,,,
23,I. Bennacer,82,86,24,Serie A,Milan,Algeria,77.0,68.0,80.0,86.0,77.0,76.0
23,Álex Remiro,82,84,27,La Liga,Real Sociedad,Spain,,,,,,
23,C. Pulisic,82,88,23,Premier League,Chelsea,United States,87.0,71.0,73.0,86.0,37.0,59.0
23,André Silva,82,84,26,Bundesliga,RB Leipzig,Portugal,74.0,83.0,70.0,82.0,47.0,78.0
23,B. Chilwell,82,85,25,Premier League,Chelsea,England,76.0,60.0,78.0,78.0,78.0,75.0
